,spanish,tagalog,english,hiligaynon,bikol,waray,ilocano,cebuano,kapampangan,pangasinense,yakan,ivatan,tausug,yami,tuwali_ifugao,masbateno
spanish,1.0,0.08425463183161239,0.15337167258506593,0.11247429547528309,0.1453067830519759,0.13583611590509498,0.14302778984564915,0.11178850116639674,0.08497913265816599,0.20093379383504067,0.12859774037002744,0.257004417452702,0.11007428640120491,0.1936829757360026,0.12583071255040965,0.15139468654143615
tagalog,0.08425463183161239,0.9999999999999998,0.14583396936897275,0.8570398337740789,0.7236649739396979,0.5303286804544685,0.4161605402809224,0.8402877343189493,0.7907111431020395,0.5104207247308459,0.40980864743885914,0.4173129307495464,0.5283898447970812,0.46755035935824746,0.42630224529383404,0.5948430350318211
english,0.15337167258506593,0.14583396936897275,1.0,0.1286218952488342,0.13594542685824734,0.13409909498173017,0.09439169333570495,0.13011043326842167,0.14922371844624557,0.18907416310908814,0.11947105165105018,0.11114251994040691,0.1102011500393214,0.11720355260945128,0.12325771582594305,0.10683946593799891
hiligaynon,0.11247429547528309,0.8570398337740789,0.1286218952488342,1.0000000000000002,0.7609042530355286,0.683282651260614,0.45876499125533815,0.9251774625809029,0.6128365616975417,0.5438904727714508,0.4314774411893173,0.451362676995302,0.5674798307977404,0.4520885908927673,0.42740501955960486,0.7317145427924935
bikol,0.1453067830519759,0.7236649739396979,0.13594542685824734,0.7609042530355286,0.9999999999999998,0.7110992889393724,0.46987284171748056,0.7699122789207118,0.5412310742442878,0.6789095838369644,0.5044630030996001,0.6045397959257962,0.6647360992946091,0.5499305905424289,0.6114432543257254,0.891426908859995
waray,0.13583611590509498,0.5303286804544685,0.13409909498173017,0.683282651260614,0.7110992889393724,1.0000000000000004,0.46263224806341835,0.6443696817763938,0.35262653980506975,0.5862758698978662,0.4235318313584105,0.4684423906690708,0.6139328440989261,0.4255087246650516,0.5866670999312785,0.7083434675026445
ilocano,0.14302778984564915,0.4161605402809224,0.09439169333570495,0.45876499125533815,0.46987284171748056,0.46263224806341835,1.0000000000000002,0.4353814803102691,0.36070128986846983,0.5125835273081767,0.2888255618241203,0.514936191631003,0.37944036499533657,0.5009920226433114,0.4188591469656826,0.4696677548522222
cebuano,0.11178850116639674,0.8402877343189493,0.13011043326842167,0.9251774625809029,0.7699122789207118,0.6443696817763938,0.4353814803102691,1.0000000000000002,0.625814267899684,0.5331986159941254,0.42478980983117437,0.4451778704838211,0.5391817361643126,0.44193323928523487,0.44078031421720143,0.7000478770848724
kapampangan,0.08497913265816599,0.7907111431020395,0.14922371844624557,0.6128365616975417,0.5412310742442878,0.35262653980506975,0.36070128986846983,0.625814267899684,1.0,0.43420950587568174,0.3389667604619842,0.32360351596789644,0.43239631870579737,0.41598615562018826,0.4120105113213792,0.3639627671802217
pangasinense,0.20093379383504067,0.5104207247308459,0.18907416310908814,0.5438904727714508,0.6789095838369644,0.5862758698978662,0.5125835273081767,0.5331986159941254,0.43420950587568174,0.9999999999999998,0.4398883634544575,0.608668123307362,0.5541236632970378,0.6118955560271852,0.6207485851699124,0.683001553164452
yakan,0.12859774037002744,0.40980864743885914,0.11947105165105018,0.4314774411893173,0.5044630030996001,0.4235318313584105,0.2888255618241203,0.42478980983117437,0.3389667604619842,0.4398883634544575,1.0,0.34241934909243604,0.6394998019372005,0.3114240744440442,0.3905499895404469,0.44131335886662815
ivatan,0.257004417452702,0.4173129307495464,0.11114251994040691,0.451362676995302,0.6045397959257962,0.4684423906690708,0.514936191631003,0.4451778704838211,0.32360351596789644,0.608668123307362,0.34241934909243604,0.9999999999999999,0.45154225742260523,0.8030308821703896,0.48614745641005974,0.6038432039394318
tausug,0.11007428640120491,0.5283898447970812,0.1102011500393214,0.5674798307977404,0.6647360992946091,0.6139328440989261,0.37944036499533657,0.5391817361643126,0.43239631870579737,0.5541236632970378,0.6394998019372005,0.45154225742260523,1.0,0.41476491428099765,0.5497098987489887,0.6045451690535665
yami,0.1936829757360026,0.46755035935824746,0.11720355260945128,0.4520885908927673,0.5499305905424289,0.4255087246650516,0.5009920226433114,0.44193323928523487,0.41598615562018826,0.6118955560271852,0.3114240744440442,0.8030308821703896,0.41476491428099765,1.0,0.43165531371561994,0.5164453775010429
tuwali_ifugao,0.12583071255040965,0.42630224529383404,0.12325771582594305,0.42740501955960486,0.6114432543257254,0.5866670999312785,0.4188591469656826,0.44078031421720143,0.4120105113213792,0.6207485851699124,0.3905499895404469,0.48614745641005974,0.5497098987489887,0.43165531371561994,0.9999999999999999,0.5917326520721997
masbateno,0.15139468654143615,0.5948430350318211,0.10683946593799891,0.7317145427924935,0.891426908859995,0.7083434675026445,0.4696677548522222,0.7000478770848724,0.3639627671802217,0.683001553164452,0.44131335886662815,0.6038432039394318,0.6045451690535665,0.5164453775010429,0.5917326520721997,0.9999999999999997
